Nombre,school_id,Latitud,Longitud,Direccion,modality_labels,modality_ids,program_ids,program_labels,department,municipality,dep_id,mun_id
SAN JOSÉ,4216,12.59718900,-85.66285500,EL BEJUCO.,PRIMARIA MULTIGRADO,14,2,PRIMARIA,Boaco,Boaco,11,100
ARMIDA BRAVO,4320,12.53024000,-85.66192000,BUENA VISTA.,"PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO","10,14",2,PRIMARIA,Boaco,Boaco,11,100
PREESCOLAR LOS VALLES,4327,12.58205000,-85.65926000,CASERIO DE LOS VALLES.,"PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO","10,14",2,PRIMARIA,Boaco,Boaco,11,100
C.D.I DIVINO NIÑO JESÚS (OSCAR DÍAZ),4328,12.46960000,-85.66240000,SILAIS 1 ½ C. AL ESTE ½ AL SUR.,PREESCOLAR FORMAL,2,,,Boaco,Boaco,11,100
CENTRO ESCOLAR JULIA GARCIA LARGAESPADA,4329,12.47261000,-85.65488000,BARRIO TIERRA BLANCA.,"PREESCOLAR FORMAL,Primaria Comunitaria JYA,PRIMARIA ACELERADA(CEDA),PRIMARIA REGULAR,PREESCOLAR COMUNITARIO","2,65,12,3,1","2,6,2","PRIMARIA,CEDA,PRIMARIA",Boaco,Boaco,11,100
CENTRO ESCOLAR SAN MIGUEL,4330,12.47596000,-85.66053000,DE LA KODAK  3 C. AL NORTE ½ AL ESTE.,"PREESCOLAR FORMAL MULTINIVEL,III CICLO,IV CICLO,PRIMARIA REGULAR","11,107,109,3",2,PRIMARIA,Boaco,Boaco,11,100
INSTITUTO NACIONAL PUBLICO DE BOACO ROSA CERDA AMADOR,4331,12.47523000,-85.64602000,CARRETERA  AL ATLANTICO FTE. A CERVECERIA VICTORIA.,SECUNDARIA REGULAR,5,3,SECUNDARIA,Boaco,Boaco,11,100
CENTRO ESCOLAR ANGELITA ROBLETO BARQUERO.,4332,12.46740800,-85.66105000,DETRÁS DEL HOSPITAL JOSE NIEWROSKI.,"PREESCOLAR FORMAL MULTINIVEL,PRIMARIA REGULAR","11,3",2,PRIMARIA,Boaco,Boaco,11,100
CENTRO ESCOLAR JUANA SOLBALVARRO,4333,12.46953000,-85.65738000,COSTADO NORTE DEL MERCADO MUNICIPAL.,"Primaria Comunitaria JYA,PREESCOLAR FORMAL,ALFABETIZACION,PRIMARIA REGULAR","65,2,63,3","2,7,2","PRIMARIA,ALFABETIZACION,PRIMARIA",Boaco,Boaco,11,100
CENTRO ESCOLAR EMILIO SOBALVARRO SUAREZ.,4334,12.47140000,-85.66042000,CRUZ ROJA UNA CUADRA AL OESTE.,"PRIMARIA REGULAR,PREESCOLAR COMUNITARIO,SECUNDARIA POR ENCUENTRO,PREESCOLAR FORMAL MULTINIVEL","3,1,13,11","2,3","PRIMARIA,SECUNDARIA",Boaco,Boaco,11,100
SAGRADO CORAZON DE JESUS,4335,12.47310000,-85.66200000,CONTIGUO AL C DE C Y EVENTOS.,"PREESCOLAR FORMAL MULTINIVEL,PRIMARIA REGULAR","11,3",2,PRIMARIA,Boaco,Boaco,11,100
AMINA AUXILIADORA ABDALLAH ALEMAN.,4336,12.61600000,-85.36419000,COMUNIDAD EL CONGO VILLA LA VEGA.,"PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO MULTINIVEL","14,10",2,PRIMARIA,Boaco,Boaco,11,100
CENTRO ESCOLAR CARLOS MEJIA GODOY.,4337,12.44250000,-85.67060000,5 KMS. AL SUR DE BOACO.,"PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO MULTINIVEL","14,10",2,PRIMARIA,Boaco,Boaco,11,100
CENTRO ESCOLAR MEDALLA MILAGROSA.,4338,12.45206000,-85.63811000,CERRO LARGO 15 KM. AL SUR.,"PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO MULTINIVEL","14,10",2,PRIMARIA,Boaco,Boaco,11,100
SANTA RITA (QUEBRACHITO),4340,12.43200000,-85.66058000,COMARCA EL QUEBRACHITO.,"PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO MULTINIVEL","14,10",2,PRIMARIA,Boaco,Boaco,11,100
